일시,부산_평균기온,부여_평균기온,철원_평균기온,춘천_평균기온,부산_최저기온,부여_최저기온,철원_최저기온,춘천_최저기온,부산_최고기온,부여_최고기온,철원_최고기온,춘천_최고기온,부산_강수량,부여_강수량,철원_강수량,춘천_강수량,부산_습도,부여_습도,철원_습도,춘천_습도,부산_일조시간,부여_일조시간,철원_일조시간,춘천_일조시간
2023-01-02,3.1,-2.9,-10.2,-6.8,0.5,-8.2,-15.7,-12.8,7.8,3.1,-2.4,1.7,0.0,0.0,0.0,0.0,20.0,58.0,67.0,59.0,8.6,8.8,8.2,7.9
2023-01-03,1.5,-4.1,-10.6,-7.6,-1.7,-10.3,-18.0,-14.6,6.8,4.1,-1.7,1.8,0.0,0.0,0.0,0.0,28.0,70.0,67.0,62.0,9.0,8.8,8.2,8.0
2023-01-04,2.6,-1.6,-9.6,-6.8,-2.0,-7.9,-17.6,-13.7,8.5,6.5,0.7,3.9,0.0,0.0,0.0,0.0,40.0,70.0,67.0,61.0,9.2,8.6,8.2,8.0
2023-01-05,4.6,-0.8,-7.7,-5.4,1.1,-6.5,-15.6,-12.4,9.4,6.5,2.8,4.8,0.0,0.0,0.0,0.0,47.1,77.6,67.0,64.8,7.5,6.2,8.2,8.0
2023-01-06,5.3,0.7,-3.5,-3.4,1.3,-4.6,-12.0,-11.0,11.3,6.3,3.2,4.6,0.0,8.2,4.2,1.1,51.3,85.9,76.8,74.0,8.9,3.9,4.0,7.9
2023-01-07,5.7,2.8,-1.8,0.3,3.6,-3.5,-10.3,-3.7,9.9,7.5,1.4,3.6,1.0,0.0,2.8,3.6,52.9,70.8,92.0,89.6,6.9,7.3,0.2,1.7
2023-01-08,6.2,-0.4,-4.6,-1.2,1.4,-5.6,-12.2,-4.7,11.9,7.4,2.0,2.1,0.0,0.0,0.0,0.0,42.4,82.1,91.5,85.8,9.2,7.8,6.6,3.2
2023-01-09,9.3,2.2,-1.1,1.6,5.7,-3.4,-8.1,-3.8,14.2,10.1,5.2,9.0,0.0,0.0,0.0,0.0,56.9,74.9,81.0,70.1,8.5,5.4,7.9,6.8
2023-01-10,7.8,0.3,-5.3,-1.8,3.9,-5.9,-12.7,-7.3,13.3,9.0,5.5,7.2,0.0,0.0,0.0,0.0,58.1,70.8,82.5,76.8,8.6,8.4,8.1,8.0
2023-01-11,8.9,0.1,-4.2,-1.5,4.8,-6.0,-11.7,-7.1,13.6,10.4,6.5,7.2,0.0,0.0,0.0,0.0,60.8,72.1,76.9,78.0,9.3,8.8,8.1,7.2
2023-01-12,11.8,4.4,-1.7,-0.1,6.3,-5.0,-9.1,-5.8,17.2,15.3,9.7,9.1,0.8,0.8,0.0,0.0,71.1,68.6,72.8,71.1,7.1,8.9,8.2,7.9
2023-01-13,14.6,8.5,2.6,2.6,13.7,5.4,-2.7,-0.8,16.3,12.3,5.1,4.1,77.1,23.0,28.9,28.6,98.8,99.0,99.6,98.5,0.0,0.0,0.0,0.0
2023-01-14,10.3,7.1,2.8,4.0,8.0,4.7,0.5,1.7,14.2,8.8,5.2,6.6,0.3,1.3,1.1,2.4,89.8,98.5,93.9,90.3,0.0,0.0,0.0,0.0
2023-01-15,6.0,0.7,-1.1,0.9,1.5,-2.2,-4.1,-0.4,8.1,5.0,0.7,2.0,0.0,1.4,2.5,13.2,86.8,80.4,94.3,93.8,0.0,0.1,0.0,0.0
2023-01-16,1.3,-2.7,-6.5,-3.7,-1.8,-6.2,-10.8,-8.1,6.9,1.9,-3.4,-0.5,0.0,0.0,0.0,0.0,50.5,62.1,79.3,75.3,9.0,8.5,7.0,2.1
